DateKey,FullDate,DateName,DayNameOfWeek,DayOfMonth,WeekdayWeekend,MonthName,CalendarYear
20190601,5/31/2019,2019-05-31,Friday,31,Weekday,June,2019
20190602,6/1/2019,2019-06-01,Saturday,1,Weekend,June,2019
20190603,6/2/2019,2019-06-02,Sunday,2,Weekend,June,2019
20190604,6/3/2019,2019-06-03,Monday,3,Weekday,June,2019
20190605,6/4/2019,2019-06-04,Tuesday,4,Weekday,June,2019
20190606,6/5/2019,2019-06-05,Wednesday,5,Weekday,June,2019
20190607,6/6/2019,2019-06-06,Thursday,6,Weekday,June,2019
20190608,6/7/2019,2019-06-07,Friday,7,Weekday,June,2019
20190609,6/8/2019,2019-06-08,Saturday,8,Weekend,June,2019
20190610,6/9/2019,2019-06-09,Sunday,9,Weekend,June,2019
20190611,6/10/2019,2019-06-10,Monday,10,Weekday,June,2019
20190612,6/11/2019,2019-06-11,Tuesday,11,Weekday,June,2019
20190613,6/12/2019,2019-06-12,Wednesday,12,Weekday,June,2019
20190614,6/13/2019,2019-06-13,Thursday,13,Weekday,June,2019
20190615,6/14/2019,2019-06-14,Friday,14,Weekday,June,2019
20190616,6/15/2019,2019-06-15,Saturday,15,Weekend,June,2019
20190617,6/16/2019,2019-06-16,Sunday,16,Weekend,June,2019
20190618,6/17/2019,2019-06-17,Monday,17,Weekday,June,2019
20190619,6/18/2019,2019-06-18,Tuesday,18,Weekday,June,2019
20190620,6/19/2019,2019-06-19,Wednesday,19,Weekday,June,2019
20190621,6/20/2019,2019-06-20,Thursday,20,Weekday,June,2019
20190622,6/21/2019,2019-06-21,Friday,21,Weekday,June,2019
20190623,6/22/2019,2019-06-22,Saturday,22,Weekend,June,2019
20190624,6/23/2019,2019-06-23,Sunday,23,Weekend,June,2019
20190625,6/24/2019,2019-06-24,Monday,24,Weekday,June,2019
20190626,6/25/2019,2019-06-25,Tuesday,25,Weekday,June,2019
20190627,6/26/2019,2019-06-26,Wednesday,26,Weekday,June,2019
20190628,6/27/2019,2019-06-27,Thursday,27,Weekday,June,2019
20190629,6/28/2019,2019-06-28,Friday,28,Weekday,June,2019
20190630,6/29/2019,2019-06-29,Saturday,29,Weekend,June,2019
20190701,6/30/2019,2019-06-30,Sunday,30,Weekend,July,2019
20190702,7/1/2019,2019-07-01,Monday,1,Weekday,July,2019
20190703,7/2/2019,2019-07-02,Tuesday,2,Weekday,July,2019
20190704,7/3/2019,2019-07-03,Wednesday,3,Weekday,July,2019
20190705,7/4/2019,2019-07-04,Thursday,4,Weekday,July,2019
20190706,7/5/2019,2019-07-05,Friday,5,Weekday,July,2019
20190707,7/6/2019,2019-07-06,Saturday,6,Weekend,July,2019
20190708,7/7/2019,2019-07-07,Sunday,7,Weekend,July,2019
20190709,7/8/2019,2019-07-08,Monday,8,Weekday,July,2019
20190710,7/9/2019,2019-07-09,Tuesday,9,Weekday,July,2019
20190711,7/10/2019,2019-07-10,Wednesday,10,Weekday,July,2019
20190712,7/11/2019,2019-07-11,Thursday,11,Weekday,July,2019
20190713,7/12/2019,2019-07-12,Friday,12,Weekday,July,2019
20190714,7/13/2019,2019-07-13,Saturday,13,Weekend,July,2019
20190715,7/14/2019,2019-07-14,Sunday,14,Weekend,July,2019
20190716,7/15/2019,2019-07-15,Monday,15,Weekday,July,2019
20190717,7/16/2019,2019-07-16,Tuesday,16,Weekday,July,2019
20190718,7/17/2019,2019-07-17,Wednesday,17,Weekday,July,2019
20190719,7/18/2019,2019-07-18,Thursday,18,Weekday,July,2019
20190720,7/19/2019,2019-07-19,Friday,19,Weekday,July,2019
20190721,7/20/2019,2019-07-20,Saturday,20,Weekend,July,2019
20190722,7/21/2019,2019-07-21,Sunday,21,Weekend,July,2019
20190723,7/22/2019,2019-07-22,Monday,22,Weekday,July,2019
20190724,7/23/2019,2019-07-23,Tuesday,23,Weekday,July,2019
20190725,7/24/2019,2019-07-24,Wednesday,24,Weekday,July,2019
20190726,7/25/2019,2019-07-25,Thursday,25,Weekday,July,2019
20190727,7/26/2019,2019-07-26,Friday,26,Weekday,July,2019
20190728,7/27/2019,2019-07-27,Saturday,27,Weekend,July,2019
20190729,7/28/2019,2019-07-28,Sunday,28,Weekend,July,2019
20190730,7/29/2019,2019-07-29,Monday,29,Weekday,July,2019
20190731,7/30/2019,2019-07-30,Tuesday,30,Weekday,July,2019
20190801,7/31/2019,2019-07-31,Wednesday,31,Weekday,August,2019
20190802,8/1/2019,2019-08-01,Thursday,1,Weekday,August,2019
20190803,8/2/2019,2019-08-02,Friday,2,Weekday,August,2019
20190804,8/3/2019,2019-08-03,Saturday,3,Weekend,August,2019
20190805,8/4/2019,2019-08-04,Sunday,4,Weekend,August,2019
20190806,8/5/2019,2019-08-05,Monday,5,Weekday,August,2019
20190807,8/6/2019,2019-08-06,Tuesday,6,Weekday,August,2019
20190808,8/7/2019,2019-08-07,Wednesday,7,Weekday,August,2019
20190809,8/8/2019,2019-08-08,Thursday,8,Weekday,August,2019
20190810,8/9/2019,2019-08-09,Friday,9,Weekday,August,2019
20190811,8/10/2019,2019-08-10,Saturday,10,Weekend,August,2019
20190812,8/11/2019,2019-08-11,Sunday,11,Weekend,August,2019
20190813,8/12/2019,2019-08-12,Monday,12,Weekday,August,2019
20190814,8/13/2019,2019-08-13,Tuesday,13,Weekday,August,2019
20190815,8/14/2019,2019-08-14,Wednesday,14,Weekday,August,2019
20190816,8/15/2019,2019-08-15,Thursday,15,Weekday,August,2019
20190817,8/16/2019,2019-08-16,Friday,16,Weekday,August,2019
20190818,8/17/2019,2019-08-17,Saturday,17,Weekend,August,2019
20190819,8/18/2019,2019-08-18,Sunday,18,Weekend,August,2019
20190820,8/19/2019,2019-08-19,Monday,19,Weekday,August,2019
20190821,8/20/2019,2019-08-20,Tuesday,20,Weekday,August,2019
20190822,8/21/2019,2019-08-21,Wednesday,21,Weekday,August,2019
20190823,8/22/2019,2019-08-22,Thursday,22,Weekday,August,2019
20190824,8/23/2019,2019-08-23,Friday,23,Weekday,August,2019
20190825,8/24/2019,2019-08-24,Saturday,24,Weekend,August,2019
20190826,8/25/2019,2019-08-25,Sunday,25,Weekend,August,2019
20190827,8/26/2019,2019-08-26,Monday,26,Weekday,August,2019
20190828,8/27/2019,2019-08-27,Tuesday,27,Weekday,August,2019
20190829,8/28/2019,2019-08-28,Wednesday,28,Weekday,August,2019
20190830,8/29/2019,2019-08-29,Thursday,29,Weekday,August,2019
20190831,8/30/2019,2019-08-30,Friday,30,Weekday,August,2019
